,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,Per 90 Minutes,,,,,,,,,
Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
63, Nantes,fr Ligue 1,23,25.2,43.3,12,132,"1,080",12,11,6,17,11,0,1,20,0,9.5,8.7,6.2,14.9,161,293,0.92,0.5,1.42,0.92,1.42,0.79,0.52,1.31,0.72,1.24
64, Napoli,it Serie A,24,29.4,58.7,11,121,990,11,16,9,25,13,3,3,16,0,15.6,14.2,10,24.2,215,509,1.45,0.82,2.27,1.18,2,1.42,0.91,2.33,1.29,2.2
65, Newcastle Utd,eng Premier League,23,28.1,51.2,11,121,990,11,11,6,17,10,1,1,14,2,12.8,12,9.8,21.8,181,511,1,0.55,1.55,0.91,1.45,1.16,0.89,2.05,1.09,1.98
66, Nice,fr Ligue 1,26,25.3,45.8,12,132,"1,080",12,16,14,30,14,2,2,28,1,13.9,12.4,11.2,23.6,186,373,1.33,1.17,2.5,1.17,2.33,1.16,0.93,2.09,1.03,1.96
67, Nott'ham Forest,eng Premier League,25,26.5,52.5,11,121,990,11,10,5,15,9,1,1,20,0,13.5,12.7,9.8,22.5,195,491,0.91,0.45,1.36,0.82,1.27,1.23,0.89,2.12,1.16,2.05
68, Osasuna,es La Liga,20,28.5,46.6,12,132,"1,080",12,9,6,15,7,2,3,25,2,13.1,10.8,8.7,19.4,155,359,0.75,0.5,1.25,0.58,1.08,1.1,0.72,1.82,0.9,1.62
69, Oviedo,es La Liga,27,28.7,43.8,12,132,"1,080",12,7,3,10,6,1,2,29,3,10,8.5,6,14.5,165,335,0.58,0.25,0.83,0.5,0.75,0.84,0.5,1.33,0.71,1.21
70, Paris FC,fr Ligue 1,25,27.5,54.9,12,132,"1,080",12,18,13,31,16,2,2,24,2,16.3,14.8,12.1,26.9,198,484,1.5,1.08,2.58,1.33,2.42,1.36,1.01,2.37,1.23,2.24
71, Paris S-G,fr Ligue 1,22,23.9,71.8,12,132,"1,080",12,24,15,39,21,3,4,15,0,20.5,17.4,14.4,31.8,311,731,2,1.25,3.25,1.75,3,1.71,1.2,2.91,1.45,2.65
72, Parma,it Serie A,23,24.4,41.8,11,121,990,11,7,4,11,6,1,1,22,2,9.9,9.1,7,16.1,111,245,0.64,0.36,1,0.55,0.91,0.9,0.63,1.53,0.83,1.46
73, Pisa,it Serie A,25,27.4,38.7,11,121,990,11,7,4,11,4,3,3,20,1,10.2,8,7,15.1,139,300,0.64,0.36,1,0.36,0.73,0.92,0.64,1.56,0.73,1.37
74, Rayo Vallecano,es La Liga,24,29.4,52.5,12,132,"1,080",12,12,9,21,11,1,1,28,1,16.9,16.1,12.7,28.8,202,444,1,0.75,1.75,0.92,1.67,1.41,1.06,2.46,1.34,2.4
75, RB Leipzig,de Bundesliga,24,25.7,48.3,10,110,900,10,19,14,33,19,0,1,16,0,18.9,18.1,12.4,30.6,217,331,1.9,1.4,3.3,1.9,3.3,1.89,1.24,3.14,1.81,3.06
76, Real Madrid,es La Liga,23,25.6,60.2,12,132,"1,080",12,26,20,46,22,4,6,23,2,27.3,22.6,18.4,41,303,680,2.17,1.67,3.83,1.83,3.5,2.28,1.53,3.81,1.88,3.42
77, Real Sociedad,es La Liga,26,26.4,50.3,12,132,"1,080",12,14,8,22,11,3,3,28,0,16.5,14.2,11.7,25.9,206,459,1.17,0.67,1.83,0.92,1.58,1.38,0.98,2.35,1.18,2.16
78, Rennes,fr Ligue 1,27,26.3,51.1,12,132,"1,080",12,18,15,33,17,1,1,24,3,17.3,16.5,14.2,30.8,195,489,1.5,1.25,2.75,1.42,2.67,1.44,1.19,2.63,1.38,2.56
79, Roma,it Serie A,23,26.9,59.3,11,121,990,11,12,7,19,11,1,2,21,0,14.3,12.8,10.3,23.1,191,457,1.09,0.64,1.73,1,1.64,1.3,0.93,2.23,1.17,2.1
80, Sassuolo,it Serie A,25,26.7,45.5,11,121,990,11,14,9,23,12,2,3,27,1,11.4,8.8,6.9,15.7,155,311,1.27,0.82,2.09,1.09,1.91,1.03,0.63,1.66,0.8,1.43
81, Sevilla,es La Liga,28,27.7,52.5,12,132,"1,080",12,17,13,30,15,2,2,41,0,11.2,9.9,8.5,18.4,203,387,1.42,1.08,2.5,1.25,2.33,0.94,0.71,1.65,0.83,1.54
82, St. Pauli,de Bundesliga,19,27.3,51.1,10,110,900,10,9,5,14,8,1,2,20,0,9.7,8.1,6.3,14.4,146,406,0.9,0.5,1.4,0.8,1.3,0.97,0.63,1.6,0.81,1.44
83, Strasbourg,fr Ligue 1,25,21.7,50.6,12,132,"1,080",12,24,18,42,22,2,2,27,3,22.6,21,17.6,38.5,201,485,2,1.5,3.5,1.83,3.33,1.88,1.46,3.34,1.75,3.21
84, Stuttgart,de Bundesliga,24,25.4,59.2,10,110,900,10,17,14,31,15,2,3,19,0,15.3,12.9,11.1,24,199,461,1.7,1.4,3.1,1.5,2.9,1.53,1.11,2.63,1.29,2.4
85, Sunderland,eng Premier League,23,25.7,43.4,11,121,990,11,13,9,22,12,1,1,19,1,10.2,9.5,6.8,16.3,136,322,1.18,0.82,2,1.09,1.91,0.93,0.62,1.55,0.86,1.48
86, Torino,it Serie A,25,27.7,43.5,11,121,990,11,9,5,14,9,0,1,20,0,12,11.2,7.3,18.5,133,340,0.82,0.45,1.27,0.82,1.27,1.09,0.66,1.75,1.02,1.68
87, Tottenham,eng Premier League,20,25.8,53.7,11,121,990,11,18,16,34,18,0,0,26,0,11,11,8.5,19.5,200,398,1.64,1.45,3.09,1.64,3.09,1,0.77,1.77,1,1.77
88, Toulouse,fr Ligue 1,22,24.7,43.1,12,132,"1,080",12,17,8,25,13,4,6,32,1,17.4,12.9,9.4,22.3,182,427,1.42,0.67,2.08,1.08,1.75,1.45,0.79,2.24,1.08,1.86
89, Udinese,it Serie A,26,26.6,47,11,121,990,11,12,8,20,11,1,1,24,0,11.2,10.4,7,17.5,178,323,1.09,0.73,1.82,1,1.73,1.01,0.64,1.65,0.95,1.59
90, Union Berlin,de Bundesliga,19,27.7,33.4,10,110,900,10,13,7,20,13,0,1,25,1,11.4,10.7,7,17.7,92,227,1.3,0.7,2,1.3,2,1.14,0.7,1.84,1.07,1.77
91, Valencia,es La Liga,21,27,46.3,12,132,"1,080",12,11,10,21,11,0,1,20,1,12.5,11.7,9.4,21.1,187,393,0.92,0.83,1.75,0.92,1.75,1.04,0.78,1.82,0.97,1.76
92, Villarreal,es La Liga,25,26.4,45.7,12,132,"1,080",12,24,17,41,23,1,1,26,1,20.6,19.8,15.6,35.4,260,461,2,1.42,3.42,1.92,3.33,1.72,1.3,3.01,1.65,2.95
93, Werder Bremen,de Bundesliga,23,25.2,49.5,10,110,900,10,15,10,25,13,2,3,27,1,13.5,11.2,9.2,20.4,161,400,1.5,1,2.5,1.3,2.3,1.35,0.92,2.28,1.12,2.04
94, West Ham,eng Premier League,25,27.2,46,11,121,990,11,12,6,18,11,1,1,17,1,12.3,11.5,7.2,18.7,128,347,1.09,0.55,1.64,1,1.55,1.12,0.65,1.77,1.05,1.7
95, Wolfsburg,de Bundesliga,23,25.7,46.1,10,110,900,10,12,10,22,11,1,1,17,1,12.5,11.8,10.2,22,124,285,1.2,1,2.2,1.1,2.1,1.25,1.02,2.28,1.18,2.2
96, Wolves,eng Premier League,24,26.8,47.2,11,121,990,11,6,4,10,5,1,1,20,2,9.6,8.9,5.9,14.7,158,338,0.55,0.36,0.91,0.45,0.82,0.88,0.53,1.41,0.8,1.34
