,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,Per 90 Minutes,,,,,,,,,
Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
59, Marseille,fr Ligue 1,30,27.9,59.7,15,165,"1,350",15,34,24,58,30,4,5,32,2,28,24.6,20.5,45.2,266,707,2.27,1.6,3.87,2,3.6,1.87,1.37,3.24,1.64,3.01
60, Metz,fr Ligue 1,27,26.6,49.1,15,165,"1,350",15,14,9,23,11,3,4,22,3,17.2,14.1,12.1,26.2,230,395,0.93,0.6,1.53,0.73,1.33,1.15,0.81,1.95,0.94,1.74
61, Milan,it Serie A,24,27.8,49.9,13,143,"1,170",13,19,13,32,17,2,3,21,1,20.2,17.9,13.4,31.3,235,490,1.46,1,2.46,1.31,2.31,1.56,1.03,2.59,1.38,2.41
62, Monaco,fr Ligue 1,28,26,54.4,15,165,"1,350",15,24,18,42,20,4,5,39,4,28.9,24.9,19.3,44.2,242,662,1.6,1.2,2.8,1.33,2.53,1.93,1.28,3.21,1.66,2.95
63, Nantes,fr Ligue 1,23,25.4,42.7,15,165,"1,350",15,13,6,19,13,0,2,25,1,12.5,10.8,7.3,18.1,205,377,0.87,0.4,1.27,0.87,1.27,0.84,0.49,1.32,0.72,1.21
64, Napoli,it Serie A,25,29.2,56.1,14,154,"1,260",14,22,14,36,19,3,3,22,0,20,18.7,13.3,32,263,580,1.57,1,2.57,1.36,2.36,1.43,0.95,2.38,1.33,2.29
65, Newcastle Utd,eng Premier League,24,27.7,51.3,15,165,"1,350",15,21,12,33,18,3,3,17,2,20.6,18.3,14.7,33,247,686,1.4,0.8,2.2,1.2,2,1.37,0.98,2.35,1.22,2.2
66, Nice,fr Ligue 1,27,25.4,47.3,15,165,"1,350",15,17,15,32,15,2,2,33,2,17.3,15.8,13.5,29.3,235,508,1.13,1,2.13,1,2,1.15,0.9,2.06,1.05,1.95
67, Nott'ham Forest,eng Premier League,26,26.4,50.9,15,165,"1,350",15,14,7,21,13,1,1,25,0,17.2,16.4,12.7,29.1,263,635,0.93,0.47,1.4,0.87,1.33,1.15,0.84,1.99,1.1,1.94
68, Osasuna,es La Liga,21,28.5,46.7,14,154,"1,260",14,12,9,21,10,2,3,32,3,15.3,13,10.1,23.1,178,423,0.86,0.64,1.5,0.71,1.36,1.09,0.72,1.82,0.93,1.65
69, Oviedo,es La Liga,27,29,44.8,15,165,"1,350",15,7,3,10,6,1,2,33,6,12.6,11,7.7,18.8,215,436,0.47,0.2,0.67,0.4,0.6,0.84,0.52,1.35,0.74,1.25
70, Paris FC,fr Ligue 1,25,27.7,54.4,15,165,"1,350",15,21,14,35,18,3,3,30,2,20.9,18.5,15.1,33.6,247,587,1.4,0.93,2.33,1.2,2.13,1.39,1.01,2.4,1.23,2.24
71, Paris S-G,fr Ligue 1,23,24,70,15,165,"1,350",15,32,22,54,29,3,4,18,0,27.4,24.3,20.5,44.7,388,880,2.13,1.47,3.6,1.93,3.4,1.83,1.36,3.19,1.62,2.98
